,Unnamed: 0,tweet,sentiment,lang,tweet_without_stopwords
1,364755,updated both trump and biden are now equal as each wins 9 states in the usaelections2020 usaelections2020,1,en,"['updated', 'trump', 'biden', 'equal', 'wins', '9', 'states', 'usaelections2020', 'usaelections2020']"
2,232395,related contingencies are undervalued some and that might be the culprit nate has biden up 2 3 in nc and simulated that gives him a 65 to carry the state trump w state by 170k votes in 2016 let s assume you know retains nc how does that affect pa prices etc,0,en,"['related', 'contingencies', 'undervalued', 'might', 'culprit', 'nate', 'biden', '2', '3', 'nc', 'simulated', 'gives', '65', 'carry', 'state', 'trump', 'w', 'state', '170k', 'votes', '2016', 'let', 'assume', 'know', 'retains', 'nc', 'affect', 'pa', 'prices', 'etc']"
3,224374,i ve been hit w these lines i usually vote green independent but this election is too important and i m voting for biden bc i prefer to fight neoliberalism which is technically diet fascism but ok and i m not a democrat but i just want trump out,1,en,"['hit', 'w', 'lines', 'usually', 'vote', 'green', 'independent', 'election', 'important', 'voting', 'biden', 'bc', 'prefer', 'fight', 'neoliberalism', 'technically', 'diet', 'fascism', 'ok', 'democrat', 'want', 'trump']"
4,56921,why aren t the libs speaking it against this because they believe the ends justify the means why isn t biden asked to condemn this they ll never ask him in any manner shape form or fashion,0,en,"['libs', 'speaking', 'believe', 'ends', 'justify', 'means', 'biden', 'asked', 'condemn', 'never', 'ask', 'manner', 'shape', 'form', 'fashion']"
6,301378,yes this completely damn it damn damn them all for contributing to this show biden bidenharris2020 bidenharris2020toendthisnightmare,1,en,"['yes', 'completely', 'damn', 'damn', 'damn', 'contributing', 'show', 'biden', 'bidenharris2020', 'bidenharris2020toendthisnightmare']"
7,485111,if was acting and doing what is currently doing questioning the election results they d say joebiden is a sore loser and calling him all types of names needs to respect the process and results and not be a sore loser firetrump,0,en,"['acting', 'currently', 'questioning', 'election', 'results', 'say', 'joebiden', 'sore', 'loser', 'calling', 'types', 'names', 'needs', 'respect', 'process', 'results', 'sore', 'loser', 'firetrump']"
9,255972,if we were keeping track trump has 3 retired pro sporters and biden has the labor unions uspoli for example,0,en,"['keeping', 'track', 'trump', '3', 'retired', 'pro', 'sporters', 'biden', 'labor', 'unions', 'uspoli', 'example']"
11,52221,wilbur you seem like a true decent guy derek honestly but trump is a failed white supremacy advocate a con man a liar a tax cheat and a womanizer don t let him tar you as intolerant by supporting him open your eyes vote how i think your soul wants you to vote biden,1,en,"['wilbur', 'seem', 'like', 'true', 'decent', 'guy', 'derek', 'honestly', 'trump', 'failed', 'white', 'supremacy', 'advocate', 'con', 'man', 'liar', 'tax', 'cheat', 'womanizer', 'let', 'tar', 'intolerant', 'supporting', 'open', 'eyes', 'vote', 'think', 'soul', 'wants', 'vote', 'biden']"
12,592068,alphanews elections2020 biden,0,en,"['alphanews', 'elections2020', 'biden']"
13,610179,if your a trump supporter hurting hurting over this result cry all you want this is a result for humanity and a loss for corporate greed and racists biden trump bidenharris2020 byebyetrump goodriddancetrump,0,en,"['trump', 'supporter', 'hurting', 'hurting', 'result', 'cry', 'want', 'result', 'humanity', 'loss', 'corporate', 'greed', 'racists', 'biden', 'trump', 'bidenharris2020', 'byebyetrump', 'goodriddancetrump']"
16,576370,jovenel pral twite f licite biden uselection2020,0,en,"['jovenel', 'pral', 'twite', 'f', 'licite', 'biden', 'uselection2020']"
17,517961,live results biden overtakes trump in georgia as votes are counted through the night elections elections2020,1,en,"['live', 'results', 'biden', 'overtakes', 'trump', 'georgia', 'votes', 'counted', 'night', 'elections', 'elections2020']"
18,774101,you have zero understanding of the mood of 75 million americans who want something better for america than a narcissistic vengeful bully not to mention leaders from countries around the world sit down sister biden,1,en,"['zero', 'understanding', 'mood', '75', 'million', 'americans', 'want', 'something', 'better', 'america', 'narcissistic', 'vengeful', 'bully', 'mention', 'leaders', 'countries', 'around', 'world', 'sit', 'sister', 'biden']"
19,455020,100 000 votes showed up in michigan and all went to joebiden not feasible or believable you are paying your scum to lie on the air they are disrespectful to the majority of citizens who voted for trump amp presidenttrump obama was ineligible amp unfit,1,en,"['100', '000', 'votes', 'showed', 'michigan', 'went', 'joebiden', 'feasible', 'believable', 'paying', 'scum', 'lie', 'air', 'disrespectful', 'majority', 'citizens', 'voted', 'trump', 'amp', 'presidenttrump', 'obama', 'ineligible', 'amp', 'unfit']"
