,Unnamed: 0,tweet,sentiment,lang,tweet_without_stopwords
1,856559,was there this level of apparently corrupt counting and shenanigans that brought into office is donaldtrump intent on characterising america as a joke of a democracy election2020,-1,en,"['level', 'apparently', 'corrupt', 'counting', 'shenanigans', 'brought', 'office', 'donaldtrump', 'intent', 'characterising', 'america', 'joke', 'democracy', 'election2020']"
2,472011,president trump s aerial transport convoy is airborne and leaving the grand rapids area towards back to joint base andrews electionday,-1,en,"['president', 'trump', 'aerial', 'transport', 'convoy', 'airborne', 'leaving', 'grand', 'rapids', 'area', 'towards', 'back', 'joint', 'base', 'andrews', 'electionday']"
3,58466,georgian hospitals get ready to be overrun incompetent rif raf pedotrump trump pence maga moscowmich,-1,en,"['georgian', 'hospitals', 'get', 'ready', 'overrun', 'incompetent', 'rif', 'raf', 'pedotrump', 'trump', 'pence', 'maga', 'moscowmich']"
4,483764,i picked sides no leaning or likely and gave all the states within the margin of error to trump biden squeaks by with 278 mostly because of a rebuilt bluewall,1,en,"['picked', 'sides', 'leaning', 'likely', 'gave', 'states', 'within', 'margin', 'error', 'trump', 'biden', 'squeaks', '278', 'mostly', 'rebuilt', 'bluewall']"
6,3636,i can assure you of one thing scott morrison will never ever be the statesman danandrews is instead like donaldtrump scottmorrison has created division instead of congratulating amp working with premiers of labor states australia who are doing a fantastic job covid19,1,en,"['assure', 'one', 'thing', 'scott', 'morrison', 'never', 'ever', 'statesman', 'danandrews', 'instead', 'like', 'donaldtrump', 'scottmorrison', 'created', 'division', 'instead', 'congratulating', 'amp', 'working', 'premiers', 'labor', 'states', 'australia', 'fantastic', 'job', 'covid19']"
7,135737,i ve always taught of usa as the big bad ass brother who is really an example of bullying but in the same time if humanity in real trouble he will be there to support with solutions trump killed that idea by ignoring science and scientists the world cannot take 4 more years,-1,en,"['always', 'taught', 'usa', 'big', 'bad', 'ass', 'brother', 'really', 'example', 'bullying', 'time', 'humanity', 'real', 'trouble', 'support', 'solutions', 'trump', 'killed', 'idea', 'ignoring', 'science', 'scientists', 'world', 'take', '4', 'years']"
8,713032,if this is the a team trump dispaches to states to dispute the vote counting you know enough,0,en,"['team', 'trump', 'dispaches', 'states', 'dispute', 'vote', 'counting', 'know', 'enough']"
9,90993,trump only wants to elect someone wants to rule but cant he misses knowledge and that is why we have now the covid19 deads but that s damage he needs to pay every person himself so all money he owns must be sent to all americans and he must be jailed we need justice,1,en,"['trump', 'wants', 'elect', 'someone', 'wants', 'rule', 'cant', 'misses', 'knowledge', 'covid19', 'deads', 'damage', 'needs', 'pay', 'every', 'person', 'money', 'owns', 'must', 'sent', 'americans', 'must', 'jailed', 'need', 'justice']"
10,668434,uselections2020 uselections uselectionresults uselection2020 uselection trump trumpvsbidenfight trumpvsbiden biden2020 bidenharris2020,0,en,"['uselections2020', 'uselections', 'uselectionresults', 'uselection2020', 'uselection', 'trump', 'trumpvsbidenfight', 'trumpvsbiden', 'biden2020', 'bidenharris2020']"
11,881183,it mat be 25th amendment time again trump is delusional and he can t count either but we knew that,0,en,"['mat', '25th', 'amendment', 'time', 'trump', 'delusional', 'count', 'either', 'knew']"
13,38571,it s amazing how every trump cultural reference is decades old woman i m from the dominican republic but i m an american trump sammy sosa a friend of mine,1,en,"['amazing', 'every', 'trump', 'cultural', 'reference', 'decades', 'old', 'woman', 'dominican', 'republic', 'american', 'trump', 'sammy', 'sosa', 'friend', 'mine']"
14,754849,not after the election date stop the counting stop the fraud election2020 trump uselection2020,0,en,"['election', 'date', 'stop', 'counting', 'stop', 'fraud', 'election2020', 'trump', 'uselection2020']"
15,880387,trump election2020results election2020 elections2020 elections bidenharis2020 bidenharris2020 biden presidentbiden2020 presidentelect president,0,en,"['trump', 'election2020results', 'election2020', 'elections2020', 'elections', 'bidenharis2020', 'bidenharris2020', 'biden', 'presidentbiden2020', 'presidentelect', 'president']"
16,522401,four more years trump electionday elections2020,1,en,"['four', 'years', 'trump', 'electionday', 'elections2020']"
17,55845,i had the distinct honor of welcoming the trump parade to newtown pa today bidenharris2020,1,en,"['distinct', 'honor', 'welcoming', 'trump', 'parade', 'newtown', 'pa', 'today', 'bidenharris2020']"
19,640751,this is particularly satisfying given what did to and now we are ever closer to declaring trump a onetermpresident onetermtrump,1,en,"['particularly', 'satisfying', 'given', 'ever', 'closer', 'declaring', 'trump', 'onetermpresident', 'onetermtrump']"
